_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,powerLevel,generic,deleted
279,"crown","Other Rifle","","","その他のライフル","","",2,2,0,true,
280,"crown","Other Rifle","","","その他のライフル","","",2,4,0,true,
281,"crown","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
282,"crown","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
283,"crown","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
284,"crown","Other SMG","","","その他のSMG","","",8,1,0,true,
285,"crown","Other SMG","","","その他のSMG","","",8,2,0,true,
286,"crown","Other SMG","","","その他のSMG","","",8,4,0,true,
287,"crown","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
288,"crown","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
289,"crown","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
290,"crown","Other Rifle","","","その他のライフル","","",2,1,2,true,
291,"crown","Other Rifle","","","その他のライフル","","",2,2,2,true,
292,"crown","Other Rifle","","","その他のライフル","","",2,4,2,true,
293,"crown","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
294,"crown","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
295,"crown","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
296,"crown","Other SMG","","","その他のSMG","","",8,1,2,true,
297,"crown","Other SMG","","","その他のSMG","","",8,2,2,true,
298,"crown","Other SMG","","","その他のSMG","","",8,4,2,true,

300,"ktw","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
301,"ktw","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
302,"ktw","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
303,"ktw","Other Rifle","","","その他のライフル","","",2,1,0,true,
304,"ktw","Other Rifle","","","その他のライフル","","",2,2,0,true,
305,"ktw","Other Rifle","","","その他のライフル","","",2,4,0,true,
306,"ktw","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
307,"ktw","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
308,"ktw","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
309,"ktw","Other SMG","","","その他のSMG","","",8,1,0,true,
310,"ktw","Other SMG","","","その他のSMG","","",8,2,0,true,
311,"ktw","Other SMG","","","その他のSMG","","",8,4,0,true,
312,"ktw","Other Handgun","","","その他のハンドガン","","",1,1,1,true,
313,"ktw","Other Handgun","","","その他のハンドガン","","",1,2,1,true,
314,"ktw","Other Handgun","","","その他のハンドガン","","",1,4,1,true,
315,"ktw","Other Rifle","","","その他のライフル","","",2,1,1,true,
316,"ktw","Other Rifle","","","その他のライフル","","",2,2,1,true,
317,"ktw","Other Rifle","","","その他のライフル","","",2,4,1,true,
318,"ktw","Other Shotgun","","","その他のショットガン","","",4,1,1,true,
319,"ktw","Other Shotgun","","","その他のショットガン","","",4,2,1,true,
320,"ktw","Other Shotgun","","","その他のショットガン","","",4,4,1,true,
321,"ktw","Other SMG","","","その他のSMG","","",8,1,1,true,
322,"ktw","Other SMG","","","その他のSMG","","",8,2,1,true,
323,"ktw","Other SMG","","","その他のSMG","","",8,4,1,true,

325,"cyma","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
326,"cyma","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
327,"cyma","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
328,"cyma","Other Rifle","","","その他のライフル","","",2,1,0,true,
329,"cyma","Other Rifle","","","その他のライフル","","",2,2,0,true,
330,"cyma","Other Rifle","","","その他のライフル","","",2,4,0,true,
331,"cyma","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
332,"cyma","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
333,"cyma","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
334,"cyma","Other SMG","","","その他のSMG","","",8,1,0,true,
335,"cyma","Other SMG","","","その他のSMG","","",8,2,0,true,
336,"cyma","Other SMG","","","その他のSMG","","",8,4,0,true,
337,"cyma","Other Handgun","","","その他のハンドガン","","",1,1,1,true,
338,"cyma","Other Handgun","","","その他のハンドガン","","",1,2,1,true,
339,"cyma","Other Handgun","","","その他のハンドガン","","",1,4,1,true,
340,"cyma","Other Rifle","","","その他のライフル","","",2,1,1,true,
341,"cyma","Other Rifle","","","その他のライフル","","",2,2,1,true,
342,"cyma","Other Rifle","","","その他のライフル","","",2,4,1,true,
343,"cyma","Other Shotgun","","","その他のショットガン","","",4,1,1,true,
344,"cyma","Other Shotgun","","","その他のショットガン","","",4,2,1,true,
345,"cyma","Other Shotgun","","","その他のショットガン","","",4,4,1,true,
346,"cyma","Other SMG","","","その他のSMG","","",8,1,1,true,
347,"cyma","Other SMG","","","その他のSMG","","",8,2,1,true,
348,"cyma","Other SMG","","","その他のSMG","","",8,4,1,true,

350,"taniokoba","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
351,"taniokoba","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
352,"taniokoba","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
353,"taniokoba","Other Rifle","","","その他のライフル","","",2,1,0,true,
354,"taniokoba","Other Rifle","","","その他のライフル","","",2,2,0,true,
355,"taniokoba","Other Rifle","","","その他のライフル","","",2,4,0,true,
356,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
357,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
358,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
359,"taniokoba","Other SMG","","","その他のSMG","","",8,1,0,true,
360,"taniokoba","Other SMG","","","その他のSMG","","",8,2,0,true,
361,"taniokoba","Other SMG","","","その他のSMG","","",8,4,0,true,
362,"taniokoba","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
363,"taniokoba","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
364,"taniokoba","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
365,"taniokoba","Other Rifle","","","その他のライフル","","",2,1,2,true,
366,"taniokoba","Other Rifle","","","その他のライフル","","",2,2,2,true,
367,"taniokoba","Other Rifle","","","その他のライフル","","",2,4,2,true,
368,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
369,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
370,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
371,"taniokoba","Other SMG","","","その他のSMG","","",8,1,2,true,
372,"taniokoba","Other SMG","","","その他のSMG","","",8,2,2,true,
373,"taniokoba","Other SMG","","","その他のSMG","","",8,4,2,true,


375,"kokusai","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
376,"kokusai","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
377,"kokusai","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
378,"kokusai","Other Rifle","","","その他のライフル","","",2,1,0,true,
379,"kokusai","Other Rifle","","","その他のライフル","","",2,2,0,true,
380,"kokusai","Other Rifle","","","その他のライフル","","",2,4,0,true,
381,"kokusai","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
382,"kokusai","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
383,"kokusai","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
384,"kokusai","Other SMG","","","その他のSMG","","",8,1,0,true,
