_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,lowFps,generic,deleted
328,"cyma","Other Rifle","","","その他のライフル","","",2,1,false,true
329,"cyma","Other Rifle","","","その他のライフル","","",2,2,false,true
330,"cyma","Other Rifle","","","その他のライフル","","",2,4,false,true
331,"cyma","Other Shotgun","","","その他のショットガン","","",4,1,false,true
332,"cyma","Other Shotgun","","","その他のショットガン","","",4,2,false,true
333,"cyma","Other Shotgun","","","その他のショットガン","","",4,4,false,true
334,"cyma","Other SMG","","","その他のSMG","","",8,1,false,true
335,"cyma","Other SMG","","","その他のSMG","","",8,2,false,true
336,"cyma","Other SMG","","","その他のSMG","","",8,4,false,true
337,"cyma","Other Pistol","","","その他のハンドガン","","",1,1,true,true
338,"cyma","Other Pistol","","","その他のハンドガン","","",1,2,true,true
339,"cyma","Other Pistol","","","その他のハンドガン","","",1,4,true,true
340,"cyma","Other Rifle","","","その他のライフル","","",2,1,true,true
341,"cyma","Other Rifle","","","その他のライフル","","",2,2,true,true
342,"cyma","Other Rifle","","","その他のライフル","","",2,4,true,true
343,"cyma","Other Shotgun","","","その他のショットガン","","",4,1,true,true
344,"cyma","Other Shotgun","","","その他のショットガン","","",4,2,true,true
345,"cyma","Other Shotgun","","","その他のショットガン","","",4,4,true,true
346,"cyma","Other SMG","","","その他のSMG","","",8,1,true,true
347,"cyma","Other SMG","","","その他のSMG","","",8,2,true,true
348,"cyma","Other SMG","","","その他のSMG","","",8,4,true,true

350,"taniokoba","Other Pistol","","","その他のハンドガン","","",1,1,false,true
351,"taniokoba","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
352,"taniokoba","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
353,"taniokoba","Other Rifle","","","その他のライフル","","",2,1,false,true
354,"taniokoba","Other Rifle","","","その他のライフル","","",2,2,false,true
355,"taniokoba","Other Rifle","","","その他のライフル","","",2,4,false,true
356,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,1,false,true
357,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,2,false,true
358,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,4,false,true
359,"taniokoba","Other SMG","","","その他のSMG","","",8,1,false,true
360,"taniokoba","Other SMG","","","その他のSMG","","",8,2,false,true
361,"taniokoba","Other SMG","","","その他のSMG","","",8,4,false,true
362,"taniokoba","Other Pistol","","","その他のハンドガン","","",1,1,true,true
363,"taniokoba","Other Pistol","","","その他のハンドガン","","",1,2,true,true
364,"taniokoba","Other Pistol","","","その他のハンドガン","","",1,4,true,true
365,"taniokoba","Other Rifle","","","その他のライフル","","",2,1,true,true
366,"taniokoba","Other Rifle","","","その他のライフル","","",2,2,true,true
367,"taniokoba","Other Rifle","","","その他のライフル","","",2,4,true,true
368,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,1,true,true
369,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,2,true,true
370,"taniokoba","Other Shotgun","","","その他のショットガン","","",4,4,true,true
371,"taniokoba","Other SMG","","","その他のSMG","","",8,1,true,true
372,"taniokoba","Other SMG","","","その他のSMG","","",8,2,true,true
373,"taniokoba","Other SMG","","","その他のSMG","","",8,4,true,true


375,"kokusai","Other Pistol","","","その他のハンドガン","","",1,1,false,true
376,"kokusai","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
377,"kokusai","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
378,"kokusai","Other Rifle","","","その他のライフル","","",2,1,false,true
379,"kokusai","Other Rifle","","","その他のライフル","","",2,2,false,true
380,"kokusai","Other Rifle","","","その他のライフル","","",2,4,false,true
381,"kokusai","Other Shotgun","","","その他のショットガン","","",4,1,false,true
382,"kokusai","Other Shotgun","","","その他のショットガン","","",4,2,false,true
383,"kokusai","Other Shotgun","","","その他のショットガン","","",4,4,false,true
384,"kokusai","Other SMG","","","その他のSMG","","",8,1,false,true
385,"kokusai","Other SMG","","","その他のSMG","","",8,2,false,true
386,"kokusai","Other SMG","","","その他のSMG","","",8,4,false,true
387,"kokusai","Other Pistol","","","その他のハンドガン","","",1,1,true,true
388,"kokusai","Other Pistol","","","その他のハンドガン","","",1,2,true,true
389,"kokusai","Other Pistol","","","その他のハンドガン","","",1,4,true,true
390,"kokusai","Other Rifle","","","その他のライフル","","",2,1,true,true
391,"kokusai","Other Rifle","","","その他のライフル","","",2,2,true,true
392,"kokusai","Other Rifle","","","その他のライフル","","",2,4,true,true
393,"kokusai","Other Shotgun","","","その他のショットガン","","",4,1,true,true
394,"kokusai","Other Shotgun","","","その他のショットガン","","",4,2,true,true
395,"kokusai","Other Shotgun","","","その他のショットガン","","",4,4,true,true
396,"kokusai","Other SMG","","","その他のSMG","","",8,1,true,true
397,"kokusai","Other SMG","","","その他のSMG","","",8,2,true,true
398,"kokusai","Other SMG","","","その他のSMG","","",8,4,true,true

400,"sunproject","Other Pistol","","","その他のハンドガン","","",1,1,false,true
401,"sunproject","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
402,"sunproject","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
403,"sunproject","Other Rifle","","","その他のライフル","","",2,1,false,true
404,"sunproject","Other Rifle","","","その他のライフル","","",2,2,false,true
405,"sunproject","Other Rifle","","","その他のライフル","","",2,4,false,true
406,"sunproject","Other Shotgun","","","その他のショットガン","","",4,1,false,true
407,"sunproject","Other Shotgun","","","その他のショットガン","","",4,2,false,true
408,"sunproject","Other Shotgun","","","その他のショットガン","","",4,4,false,true
409,"sunproject","Other SMG","","","その他のSMG","","",8,1,false,true
410,"sunproject","Other SMG","","","その他のSMG","","",8,2,false,true
411,"sunproject","Other SMG","","","その他のSMG","","",8,4,false,true
412,"sunproject","Other Pistol","","","その他のハンドガン","","",1,1,true,true
413,"sunproject","Other Pistol","","","その他のハンドガン","","",1,2,true,true
414,"sunproject","Other Pistol","","","その他のハンドガン","","",1,4,true,true
415,"sunproject","Other Rifle","","","その他のライフル","","",2,1,true,true
416,"sunproject","Other Rifle","","","その他のライフル","","",2,2,true,true
417,"sunproject","Other Rifle","","","その他のライフル","","",2,4,true,true
418,"sunproject","Other Shotgun","","","その他のショットガン","","",4,1,true,true
419,"sunproject","Other Shotgun","","","その他のショットガン","","",4,2,true,true
420,"sunproject","Other Shotgun","","","その他のショットガン","","",4,4,true,true
421,"sunproject","Other SMG","","","その他のSMG","","",8,1,true,true
422,"sunproject","Other SMG","","","その他のSMG","","",8,2,true,true
423,"sunproject","Other SMG","","","その他のSMG","","",8,4,true,true

425,"ares","Other Pistol","","","その他のハンドガン","","",1,1,false,true
426,"ares","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
427,"ares","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
428,"ares","Other Rifle","","","その他のライフル","","",2,1,false,true
429,"ares","Other Rifle","","","その他のライフル","","",2,2,false,true
